Product Name,Product Price,Old Price,Product Cat,Time Added,Source,Product URL,Brand
Pure Aero 98 Tennis Racket (Pair),£510.00,,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-aero-98-tennis-racket-pair-4E9A3,Babolat
Pure Drive 98 Tennis Rackets (Pair),From £383.71,£510.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-98-tennis-rackets-pair-4D7BE,Babolat
Pure Strike 97 Tennis Racket (Pair of Two Rackets) (Carbon Grey/Fluo Strike),£341.50,£510.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-97-tennis-racket-pair-of-two-rackets-carbon-greyfluo-strike-4E0B2,Babolat
Pure Aero + Tennis Racket,£250.00,,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-aero-tennis-racket-4E9A5,Babolat
Pure Aero 98 Tennis Racket,£221.00,£260.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-aero-98-tennis-racket-4E9A4,Babolat
Pure Aero Tennis Racket (Black/Fluo Yellow),£233.99,£260.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-aero-tennis-racket-blackfluo-yellow-4E9A6,Babolat
Pure Aero Team Tennis Racket,£215.99,£240.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-aero-team-tennis-racket-4E9A7,Babolat
Pure Aero Lite Tennis Racket,£197.99,£220.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-aero-lite-tennis-racket-4E9A8,Babolat
Pure Drive Tennis Racket,From £173.84,£235.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-tennis-racket-4D7BF,Babolat
Pure Strike VS Tennis Rackets Matched Pair,£215.95,£490.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-vs-tennis-rackets-matched-pair-15A00,Babolat
Pure Drive Plus Tennis Racket,From £176.80,£235.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-plus-tennis-racket-4D7C0,Babolat
Pure Strike 100 Tennis Racket,From £96.85,£205.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-100-tennis-racket-8A10,Babolat
Pure Aero Super Lite Tennis Racket,£169.99,£200.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-aero-super-lite-tennis-racket-4E9A9,Babolat
Pure Drive 98 Tennis Racket,£179.99,£260.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-98-tennis-racket-4D7BD,Babolat
Pure Strike 98 18/20 Tennis Racket (Carbon Grey/Fluo Strike),£179.99,£250.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-98-1820-tennis-racket-carbon-greyfluo-strike-4E0B4,Babolat
Pure Strike 98 16/19 Tennis Racket (Carbon Grey/Fluo Strike),£179.99,£250.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-98-1619-tennis-racket-carbon-greyfluo-strike-4E0B8,Babolat
Pure Drive Lite Tennis Racket,From £148.20,£210.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-lite-tennis-racket-4D7C2,Babolat
Pure Strike 100 16/20 Tennis Racket (Carbon Grey/Fluo Strike),£175.95,£260.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-100-1620-tennis-racket-carbon-greyfluo-strike-4E0BA,Babolat
Pure Strike 100 16/20 Tennis Racket (White-Red-Black),From £125.35,£255.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-100-1620-tennis-racket-whiteredblack-426D5,Babolat
Pure Strike 97 Tennis Racket (Carbon Grey/Fluo Strike),£175.51,£260.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-97-tennis-racket-carbon-greyfluo-strike-4E0B3,Babolat
Pure Drive Super Lite Tennis Racket,From £148.19,£200.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-super-lite-tennis-racket-4D7C3,Babolat
Pure Strike 100 16/19 Tennis Racket (Carbon Grey/Fluo Strike),£166.02,£240.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-100-1619-tennis-racket-carbon-greyfluo-strike-4E0B9,Babolat
Pure Drive 107 Tennis Racket,£165.95,£230.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-107-tennis-racket-4D7C4,Babolat
Evo Aero Pink Tennis Racket,From £94.95,£155.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-aero-pink-tennis-racket-426DB,Babolat
Pure Strike Team Tennis Racket (White-Red-Black),From £116.80,£215.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-team-tennis-racket-whiteredblack-426D7,Babolat
Evo Drive Tour Tennis Racket (Blue),From £97.80,£155.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-drive-tour-tennis-racket-blue-426E1,Babolat
Pure Drive Team Tennis Racket,£152.14,£220.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-team-tennis-racket-4D7C1,Babolat
Pure Strike 98 16/19 Tennis Racket (White-Red-Black),From £122.50,£245.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-98-1619-tennis-racket-whiteredblack-426D4,Babolat
Pure Strike 100 16/19 Tennis Racket (White-Red-Black),£158.77,£235.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-100-1619-tennis-racket-whiteredblack-426D6,Babolat
Pure Drive 30th Anniversary Tennis Racket,£160.95,£270.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-30th-anniversary-tennis-racket-4297C,Babolat
Pure Strike 18/20 Tennis Racket (White-Red-Black),£159.95,£245.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-1820-tennis-racket-whiteredblack-426D3,Babolat
Pure Strike Team Tennis Racket (Carbon Grey/Fluo Strike),£152.14,£220.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-team-tennis-racket-carbon-greyfluo-strike-4E0BB,Babolat
Pure Strike Lite Tennis Racket (Carbon Grey/Fluo Strike),£145.23,£210.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-lite-tennis-racket-carbon-greyfluo-strike-4E0BC,Babolat
Evo Drive Tennis Racket,From £113.95,£150.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-drive-tennis-racket-4D6AB,Babolat
Evo Drive White Tennis Racket (White-Blue),From £94.00,£145.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-drive-white-tennis-racket-whiteblue-426DE,Babolat
Pure Strike 97 Tennis Racket (White-Red-Black),£154.95,£260.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-97-tennis-racket-whiteredblack-426D2,Babolat
Boost Aero Pink Tennis Racket,From £66.45,£95.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-boost-aero-pink-tennis-racket-426E5,Babolat
Pure Strike VS Tennis Racket,From £107.30,£250.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-vs-tennis-racket-15A08,Babolat
Evo Aero Tennis Racket,From £94.95,£155.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-aero-tennis-racket-426DA,Babolat
Evo Drive Lite Tennis Racket (Blue),From £107.35,£145.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-drive-lite-tennis-racket-blue-4D6AC,Babolat
Pure Drive Team Tennis Racket (Blue),From £105.40,£205.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-team-tennis-racket-blue-9BA4,Babolat
Evo Drive Tour Tennis Racket,From £113.99,£160.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-drive-tour-tennis-racket-4D6AE,Babolat
Boost Drive Tennis Racket,From £68.98,£95.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-boost-drive-tennis-racket-4D7C5,Babolat
Evo Aero Lite Tennis Racket,£87.95,£145.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-aero-lite-tennis-racket-42CD1,Babolat
Evo Aero Tennis Racket (Grey/Fluorescent Yellow),£119.99,£160.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-aero-tennis-racket-greyfluorescent-yellow-4E966,Babolat
Pure Strike 103 Tennis Racket (White-Red-Black),From £104.56,£195.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-strike-103-tennis-racket-whiteredblack-13B98,Babolat
Evo Drive Lite Tennis Racket (Blue),From £85.45,£140.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-drive-lite-tennis-racket-blue-426DF,Babolat
Pure Drive 26 Junior Tennis Racket (Light Blue),£78.98,£105.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-26-junior-tennis-racket-light-blue-4D7C8,Babolat
Evo Drive Lite Tennis Racket (White-Blue),From £71.16,£140.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-drive-lite-tennis-racket-whiteblue-426E0,Babolat
Pure Drive Lite Tennis Racket (Blue),£102.95,£195.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-lite-tennis-racket-blue-9BA5,Babolat
Pure Drive 26 Junior Tennis Racket,From £79.80,£105.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-pure-drive-26-junior-tennis-racket-4D7C7,Babolat
Evo Strike Tennis Racket,£112.99,£160.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evo-strike-tennis-racket-426D9,Babolat
Evoke Team Tennis Racket,From £37.95,£50.00,Tennis Rackets,2026-09-08 10:41:40,Direct Tennis UK,https://www.directtennis.co.uk/tennis-rackets/babolat/babolat-evoke-team-tennis-racket-426E9,Babolat
