Product Name,Product Price,Old Price,Product Cat,Time Added,Source,Product URL,Brand
Gravity Tour Zverev Limited Edition Tennis Racket,£183.99,£230.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-gravity-tour-zverev-limited-edition-tennis-racket-1769745.html,HEAD
Gravity MP L Zverev Limited Edition Tennis Racket,£152.99,£200.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-gravity-mp-l-zverev-limited-edition-tennis-racket-1769763.html,HEAD
Pure Drive Gen11 Spectra Edition Tennis Racket [Frame Only],£206.99,£230.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-drive-gen11-spectra-edition-tennis-racket-frame-only-1767798.html,Babolat
Extreme Pro Tennis Racket 2026 [Frame Only],£171.99,£230.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-extreme-pro-tennis-racket-2026-frame-only-1767496.html,HEAD
Extreme MP Tennis Racket 2026,£156.99,£210.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-extreme-mp-tennis-racket-2026-1767497.html,HEAD
Extreme Team Tennis Racket 2026,£126.99,£170.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-extreme-team-tennis-racket-2026-1767511.html,HEAD
Extreme MP UL Tennis Racket 2026,£153.94,£190.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-extreme-mp-ul-tennis-racket-2026-1767510.html,HEAD
Extreme MP L Tennis Racket 2026,£141.99,£190.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-extreme-mp-l-tennis-racket-2026-1767498.html,HEAD
T-Fight 300 IG Tennis Racket 2026,£159.99,£220.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/tecnifibre-t-fight-300-ig-tennis-racket-2026-1764348.html,Tecnifibre
Pure Aero 98 Gen9 Tennis Racket [Frame Only] (2026),£233.99,£260.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-aero-98-gen9-tennis-racket-frame-only-2026-1755156.html,Babolat
Drive Black Tennis Racket (2026),£89.99,£160.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-drive-black-tennis-racket-2026-1763136.html,Babolat
Pure Drive Team Gen11 Spectra Edition Tennis Racket [Frame Only],£193.49,£215.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-drive-team-gen11-spectra-edition-tennis-racket-frame-only-1767799.html,Babolat
Evoke Team Wimbledon Tennis Racket (2026),£39.99,£60.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evoke-team-wimbledon-tennis-racket-2026-1764892.html,Babolat
Speed Team Tennis Racket (2022),£99.99,£200.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-speed-team-tennis-racket-2022-1546685.html,HEAD
Speed MP Tennis Racket (2022),£119.99,£230.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-speed-mp-tennis-racket-2022-1546681.html,HEAD
Ti S6 Titanium Tennis Racket,£84.99,£140.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-ti-s6-titanium-tennis-r-402905.html,HEAD
Speed Pro Tennis Racket (2022),£109.99,£240.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-speed-pro-tennis-racket-2022-1546583.html,HEAD
Pure Aero Gen9 Tennis Racket (2026),£207.99,£260.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-aero-gen9-tennis-racket-2026-1755148.html,Babolat
Pure Drive Gen 11 Tennis Racket (2025),£176.24,£235.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-drive-gen-11-tennis-racket-2025-1684562.html,Babolat
EZONE 100 v8 Tennis Racket [Frame Only] - Espresso Brown,£270.00,,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-ezone-100-v8-tennis-racket-frame-only-espresso-brown-1767793.html,Yonex
Pure Aero Team Gen9 Tennis Racket (2026),£191.99,£240.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-aero-team-gen9-tennis-racket-2026-1755174.html,Babolat
Pure Drive Team Gen 11 Tennis Racket (2025),£164.99,£220.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-drive-team-gen-11-tennis-racket-2025-1684717.html,Babolat
Pure Aero S-Lite Gen9 Tennis Racket (2026),£159.99,£200.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-aero-s-lite-gen9-tennis-racket-2026-1755179.html,Babolat
Evoke Team Tennis Racket (2026) - Red,£42.49,£50.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evoke-team-tennis-racket-2026-red-1769325.html,Babolat
Evoke Tour Tennis Racket (2026) - Black/Yellow,£42.49,£50.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evoke-tour-tennis-racket-2026-black-yellow-1769324.html,Babolat
Ti S2 Titanium Tennis Racket,£79.99,£130.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-ti-s2-titanium-tennis-racket-1686228.html,HEAD
EZONE 98 v8 Tennis Racket [Frame Only] - Espresso Brown,£270.00,,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-ezone-98-v8-tennis-racket-frame-only-espresso-brown-1767791.html,Yonex
Pure Aero Lite Gen9 Tennis Racket (2026),£175.99,£220.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-pure-aero-lite-gen9-tennis-racket-2026-1755157.html,Babolat
VCore 98L Tennis Racket (2026) [Frame Only] - Ruby Red,£199.99,£260.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/yonex-vcore-98l-tennis-racket-2026-frame-only-ruby-red-1758730.html,Yonex
Evo Strike Tennis Racket,£124.99,£160.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evo-strike-tennis-racket-1666478.html,Babolat
Extreme Elite Tennis Racket (2026),£99.99,£130.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-extreme-elite-tennis-racket-2026-1768511.html,HEAD
Evo Drive Gen 2 Tennis Racket 2025,£114.99,£149.99,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/babolat-evo-drive-gen-2-tennis-racket-2025-1694480.html,Babolat
Speed MP Tennis Racket (2026),£171.99,£230.00,Tennis Rackets,2026-09-11 15:26:31,Tennis Nuts,https://www.tennisnuts.com/shop/tennis/tennis-rackets/head-speed-mp-tennis-racket-2026-1754802.html,HEAD
