Product Name,Product Price,Old Price,Product Cat,Time Added,Source,Product URL,Brand
Defyer 100L V1 Tour racket unstrung,£186.90,£220.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-defyer-100l-v1-tour-racket-unstrung-P0000009761001,Wilson
Defyer 100 V1 Tour racket unstrung,£193.90,£245.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-defyer-100-v1-tour-racket-unstrung-P0000009761501,Wilson
Blade 100 V10 Tour racket unstrung,£185.90,£245.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-blade-100-v10-tour-racket-unstrung-00707604278000,Wilson
Blade 98 16X19 V10 Tour racket unstrung,£191.90,£251.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-blade-98-16x19-v10-tour-racket-unstrung-00707604274000,Wilson
Blade 100L V10 Tour racket unstrung,£165.90,£220.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-blade-100l-v10-tour-racket-unstrung-00707604279000,Wilson
Pure Aero 98 Tour racket unstrung,£189.90,£259.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/babolat-pure-aero-98-tour-racket-unstrung-00907603204000,Babolat
Pure Aero + Tour racket unstrung,£175.90,£251.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/babolat-pure-aero-tour-racket-unstrung-00907603208000,Babolat
Pure Aero Team Tour racket unstrung,£178.90,£234.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/babolat-pure-aero-team-tour-racket-unstrung-00907603217000,Babolat
Pro Staff 97 Classic Tour racket unstrung,£172.90,£230.00,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-pro-staff-97-classic-tour-racket-unstrung-00707604289000,Wilson
Clash 100 V3 Tour racket unstrung,£189.90,£216.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-clash-100-v3-tour-racket-unstrung-P0000003290701,Wilson
Rf 01 Hall Of Fame Tour racket unstrung,£238.90,£243.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/wilson-rf-01-hall-of-fame-tour-racket-unstrung-P0000009761101,Wilson
Pure Drive,£171.90,£224.99,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/babolat-pure-drive-00907503101000-en,Babolat
Graphene 360+ Radical Pro (2021) Tour racket strung,£98.90,£242.90,Tennis Rackets,2026-09-08 10:39:32,Tennis Point,https://www.tennis-point.co.uk/products/head-graphene-360-radical-pro-2021-tour-racket-strung-00606804405000,HEAD
