Product Name,Product Price,Old Price,Product Cat,Time Added,Source,Product URL,Brand
Pure Drive Spectra Edition Racket,246.90 €,,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Spectra_Edition_Racket_/descpageRCQBA-BPDSPR-EN.html,Babolat
Pure Drive Team Spectra Edition Racket,249.90 €,,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Team_Spectra_Edition_Racket_/descpageRCQBA-BPDTSP-EN.html,Babolat
Pure Drive Racket Wimbledon 2026,189.90 €,279.95 €,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Racket_Wimbledon_2026/descpageRCQBA-BPDW26-EN.html,Babolat
Pure Drive 2025 Racket,183.89 €,269.95 €,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_2025_Racket_/descpageRCQBA-BPD25R-EN.html,Babolat
Pure Drive Team 2025 Racket,183.90 €,239.95 €,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Team_2025_Racket_/descpageRCQBA-BRPTR-EN.html,Babolat
Pure Drive 98 2025 Racket,205.90 €,299.95 €,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_98_2025_Racket/descpageRCQBA-PD98R-EN.html,Babolat
Pure Drive 98 2025 Racket x2,403.90 €,599.95 €,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_98_2025_Racket_x2/descpageRCQBA-PD98D-EN.html,Babolat
Pure Drive Plus 2025 Racket,215.70 €,269.95 €,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Plus_2025_Racket_/descpageRCQBA-BPDPR-EN.html,Babolat
Pure Drive 107 2025 Racket,188.90 €,249.95 €,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_107_2025_Racket_/descpageRCQBA-BPD17R-EN.html,Babolat
Pure Drive Lite 2025 Racket,153.90 €,229.95 €,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Lite_2025_Racket_/descpageRCQBA-BPDLR-EN.html,Babolat
Pure Drive Super Lite 2025 Racket,169.90 €,219.95 €,Tennis Rackets,2026-09-11 14:51:05,Tennis Warehouse Europe,https://www.tenniswarehouse-europe.com/Babolat_Pure_Drive_Super_Lite_2025_Racket_/descpageRCQBA-BPDSLR-EN.html,Babolat
